DATE,CARRIER_CODE,AIRPORT_CODE,TOTAL_FLIGHTS,DELAYED_FLIGHTS,CANCELLED_FLIGHTS,DIVERTED_FLIGHTS,PCT_DELAYED,PCT_CANCELLED,PCT_DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,TOTAL_DELAY_MIN
2025-06-01,9E,FAR,32.0,2.0,0,0,6.25,0.0,0.0,33.0,0.0,7.0,0.0,0.0,40.0
2025-06-01,9E,FAY,84.0,21.0,0,0,25.0,0.0,0.0,216.0,109.0,182.0,0.0,796.0,1303.0
2025-06-01,9E,FSD,25.0,8.0,0,0,32.0,0.0,0.0,304.0,0.0,33.0,0.0,264.0,601.0
2025-06-01,9E,GFK,25.0,6.0,0,0,24.0,0.0,0.0,284.0,223.0,71.0,0.0,55.0,633.0
2025-06-01,9E,GRB,53.0,8.0,0,0,15.09433962264151,0.0,0.0,202.0,25.0,19.0,0.0,276.0,522.0
2025-06-01,9E,GRR,113.0,35.0,0,0,30.973451327433626,0.0,0.0,1114.0,101.0,259.0,0.0,836.0,2310.0
2025-06-01,9E,GSO,125.0,37.0,0,0,29.599999999999998,0.0,0.0,1122.0,0.0,408.0,0.0,1421.0,2951.0
2025-06-01,9E,GSP,116.0,34.0,0,0,29.310344827586203,0.0,0.0,681.0,0.0,537.0,0.0,1100.0,2318.0
2025-06-01,9E,GTR,60.0,26.0,0,0,43.333333333333336,0.0,0.0,381.0,49.0,223.0,0.0,947.0,1600.0
2025-06-01,9E,HPN,137.0,28.0,0,0,20.437956204379564,0.0,0.0,523.0,302.0,390.0,0.0,750.0,1965.0
2025-06-01,9E,HSV,106.0,39.0,0,0,36.79245283018868,0.0,0.0,1232.0,243.0,783.0,0.0,1678.0,3936.0
2025-06-01,9E,IAD,84.0,20.0,0,0,23.809523809523807,0.0,0.0,354.0,0.0,509.0,0.0,504.0,1367.0
2025-06-01,9E,ICT,6.0,3.0,0,0,50.0,0.0,0.0,147.0,0.0,21.0,0.0,36.0,204.0
2025-06-01,9E,ILM,98.0,29.0,0,0,29.591836734693878,0.0,0.0,1526.0,0.0,729.0,0.0,698.0,2953.0
2025-06-01,9E,IND,287.0,85.0,0,0,29.61672473867596,0.0,0.0,1615.0,46.0,3148.0,0.0,3747.0,8556.0
2025-06-01,9E,ITH,60.0,15.0,0,0,25.0,0.0,0.0,823.0,52.0,112.0,0.0,797.0,1784.0
