DATE,CARRIER_CODE,AIRPORT_CODE,DELAY_CAUSE,DELAY_MINUTES
2025-06-01,9E,CHS,WEATHER_DELAY,80.0
2025-06-01,9E,CID,CARRIER_DELAY,723.0
2025-06-01,9E,CID,LATE_AIRCRAFT_DELAY,358.0
2025-06-01,9E,CID,NAS_DELAY,272.0
2025-06-01,9E,CID,SECURITY_DELAY,0.0
2025-06-01,9E,CID,WEATHER_DELAY,0.0
2025-06-01,9E,CLE,CARRIER_DELAY,3639.0
2025-06-01,9E,CLE,LATE_AIRCRAFT_DELAY,3749.0
2025-06-01,9E,CLE,NAS_DELAY,1649.0
2025-06-01,9E,CLE,SECURITY_DELAY,0.0
2025-06-01,9E,CLE,WEATHER_DELAY,29.0
2025-06-01,9E,CLT,CARRIER_DELAY,1367.0
2025-06-01,9E,CLT,LATE_AIRCRAFT_DELAY,3663.0
2025-06-01,9E,CLT,NAS_DELAY,2102.0
2025-06-01,9E,CLT,SECURITY_DELAY,0.0
2025-06-01,9E,CLT,WEATHER_DELAY,40.0
2025-06-01,9E,CMH,CARRIER_DELAY,527.0
2025-06-01,9E,CMH,LATE_AIRCRAFT_DELAY,322.0
2025-06-01,9E,CMH,NAS_DELAY,253.0
2025-06-01,9E,CMH,SECURITY_DELAY,0.0
2025-06-01,9E,CMH,WEATHER_DELAY,162.0
2025-06-01,9E,CRW,CARRIER_DELAY,866.0
2025-06-01,9E,CRW,LATE_AIRCRAFT_DELAY,902.0
2025-06-01,9E,CRW,NAS_DELAY,341.0
2025-06-01,9E,CRW,SECURITY_DELAY,0.0
2025-06-01,9E,CRW,WEATHER_DELAY,1121.0
2025-06-01,9E,CSG,CARRIER_DELAY,1096.0
2025-06-01,9E,CSG,LATE_AIRCRAFT_DELAY,523.0
2025-06-01,9E,CSG,NAS_DELAY,286.0
2025-06-01,9E,CSG,SECURITY_DELAY,0.0
2025-06-01,9E,CSG,WEATHER_DELAY,47.0
2025-06-01,9E,CVG,CARRIER_DELAY,5739.0
2025-06-01,9E,CVG,LATE_AIRCRAFT_DELAY,8335.0
2025-06-01,9E,CVG,NAS_DELAY,4339.0
2025-06-01,9E,CVG,SECURITY_DELAY,0.0
2025-06-01,9E,CVG,WEATHER_DELAY,592.0
2025-06-01,9E,CWA,CARRIER_DELAY,474.0
2025-06-01,9E,CWA,LATE_AIRCRAFT_DELAY,498.0
2025-06-01,9E,CWA,NAS_DELAY,135.0
2025-06-01,9E,CWA,SECURITY_DELAY,0.0
2025-06-01,9E,CWA,WEATHER_DELAY,5.0
2025-06-01,9E,DAY,CARRIER_DELAY,323.0
2025-06-01,9E,DAY,LATE_AIRCRAFT_DELAY,1059.0
2025-06-01,9E,DAY,NAS_DELAY,359.0
2025-06-01,9E,DAY,SECURITY_DELAY,0.0
2025-06-01,9E,DAY,WEATHER_DELAY,0.0
2025-06-01,9E,DCA,CARRIER_DELAY,734.0
2025-06-01,9E,DCA,LATE_AIRCRAFT_DELAY,1616.0
2025-06-01,9E,DCA,NAS_DELAY,2745.0
2025-06-01,9E,DCA,SECURITY_DELAY,0.0
2025-06-01,9E,DCA,WEATHER_DELAY,212.0
2025-06-01,9E,DHN,CARRIER_DELAY,809.0
2025-06-01,9E,DHN,LATE_AIRCRAFT_DELAY,813.0
2025-06-01,9E,DHN,NAS_DELAY,106.0
2025-06-01,9E,DHN,SECURITY_DELAY,0.0
2025-06-01,9E,DHN,WEATHER_DELAY,59.0
2025-06-01,9E,DLH,CARRIER_DELAY,130.0
2025-06-01,9E,DLH,LATE_AIRCRAFT_DELAY,407.0
2025-06-01,9E,DLH,NAS_DELAY,0.0
2025-06-01,9E,DLH,SECURITY_DELAY,0.0
2025-06-01,9E,DLH,WEATHER_DELAY,0.0
2025-06-01,9E,DSM,CARRIER_DELAY,2082.0
2025-06-01,9E,DSM,LATE_AIRCRAFT_DELAY,2055.0
2025-06-01,9E,DSM,NAS_DELAY,688.0
2025-06-01,9E,DSM,SECURITY_DELAY,0.0
2025-06-01,9E,DSM,WEATHER_DELAY,257.0
2025-06-01,9E,DTW,CARRIER_DELAY,13829.0
