DATE,AIRPORT_CODE,TOTAL_FLIGHTS,DELAYED_FLIGHTS,CANCELLED_FLIGHTS,DIVERTED_FLIGHTS,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,PCT_DELAYED,PCT_CANCELLED,PCT_DIVERTED
2025-06-01,BLI,215.0,51.0,0.0,0.0,1004.0,27.0,296.0,0.0,1548.0,23.72093023255814,0.0,0.0
2025-06-01,BLV,179.0,48.0,0.0,0.0,1732.0,312.0,270.0,0.0,1454.0,26.81564245810056,0.0,0.0
2025-06-01,BMI,206.0,54.0,0.0,0.0,712.0,466.0,1063.0,0.0,1117.0,26.21359223300971,0.0,0.0
2025-06-01,BNA,9688.0,2775.0,0.0,0.0,51822.0,11925.0,37007.0,1081.0,87941.0,28.64368290668869,0.0,0.0
2025-06-01,BOI,2512.0,539.0,0.0,0.0,13446.0,317.0,3537.0,243.0,13357.0,21.45700636942675,0.0,0.0
2025-06-01,BOS,12486.0,3536.0,0.0,0.0,73894.0,11651.0,74078.0,501.0,109842.0,28.319718084254365,0.0,0.0
2025-06-01,BPT,60.0,11.0,0.0,0.0,288.0,256.0,71.0,0.0,0.0,18.333333333333332,0.0,0.0
2025-06-01,BQK,90.0,29.0,0.0,0.0,519.0,234.0,496.0,0.0,816.0,32.22222222222222,0.0,0.0
2025-06-01,BQN,212.0,61.0,0.0,0.0,1841.0,40.0,286.0,0.0,1259.0,28.77358490566038,0.0,0.0
2025-06-01,BRD,52.0,8.0,0.0,0.0,418.0,0.0,47.0,0.0,0.0,15.384615384615385,0.0,0.0
2025-06-01,BRO,259.0,75.0,0.0,0.0,3764.0,610.0,391.0,0.0,3424.0,28.957528957528954,0.0,0.0
2025-06-01,BRW,35.0,8.0,0.0,0.0,196.0,0.0,0.0,0.0,94.0,22.857142857142858,0.0,0.0
2025-06-01,BTM,60.0,17.0,0.0,0.0,743.0,120.0,540.0,0.0,588.0,28.333333333333332,0.0,0.0
2025-06-01,BTR,595.0,208.0,0.0,0.0,6104.0,1915.0,1246.0,0.0,8990.0,34.95798319327731,0.0,0.0
